idseaConditionFact,bulk,texture,shape,uniformity,score,date,idspot
321,0,2,3,2,2,5/2/2020 8:00,386
322,1,2,3,2,4,5/2/2020 11:00,386
323,1,3,2,2,5,5/2/2020 15:00,386
324,1,1,3,1,4,5/3/2020 7:00,386
325,1,2,3,1,4,5/3/2020 9:00,386
326,1,2,3,1,5,5/3/2020 12:00,386
327,1,2,3,0,3,5/3/2020 14:00,386
328,1,1,3,2,6,5/4/2020 7:00,386
329,1,2,3,2,6,5/4/2020 9:00,386
330,1,2,3,2,6,5/4/2020 12:00,386
331,1,3,3,1,4,5/4/2020 14:00,386
332,1,3,3,0,2,5/4/2020 16:00,386
333,1,3,3,0,2,5/5/2020 7:00,386
334,1,3,3,0,2,5/5/2020 9:00,386
335,1,2,3,1,5,5/5/2020 11:00,386
336,1,3,3,0,2,5/5/2020 14:00,386
337,1,2,3,0,3,5/5/2020 17:00,386
338,1,1,3,0,4,5/5/2020 17:00,386
339,1,1,1,1,2,5/6/2020 7:00,386
340,1,2,1,0,1,5/6/2020 8:00,386
341,0,3,3,0,1,5/6/2020 10:00,386
342,1,2,2,0,3,5/6/2020 12:00,386
343,1,1,3,0,3,5/6/2020 13:00,386
344,0,1,1,0,2,5/6/2020 16:00,386
345,0,1,1,2,1,5/2/2020 7:00,380
346,1,1,2,2,6,5/2/2020 10:00,380
347,1,1,1,2,4,5/2/2020 15:00,380
348,1,2,1,2,3,5/2/2020 17:00,380
349,1,1,3,2,6,5/3/2020 7:00,380
350,1,1,1,2,4,5/3/2020 11:00,380
351,1,1,1,2,3,5/3/2020 15:00,380
352,0,2,1,2,2,5/3/2020 17:00,380
353,1,1,1,2,3,5/4/2020 7:00,380
354,1,3,3,0,1,5/4/2020 11:00,380
355,0,4,3,0,1,5/4/2020 14:00,380
356,0,3,3,0,2,5/4/2020 17:00,380
357,1,3,3,0,2,5/5/2020 7:00,380
358,1,3,1,0,2,5/5/2020 8:00,380
359,1,1,2,2,4,5/6/2020 13:00,380
360,1,1,1,2,3,5/6/2020 15:00,380
361,1,1,1,2,3,5/6/2020 17:00,380
362,1,2,3,0,3,5/10/2020 7:00,386
363,1,3,2,1,5,5/10/2020 9:00,386
364,1,2,3,0,3,5/10/2020 11:00,386
365,2,3,3,0,3,5/10/2020 14:00,386
366,1,3,3,0,2,5/10/2020 17:00,386
367,1,2,3,0,2,5/10/2020 7:00,380
368,1,3,2,0,2,5/10/2020 10:00,380
369,2,3,2,0,3,5/10/2020 12:00,380
370,1,3,3,0,2,5/10/2020 14:00,380
371,1,3,3,0,3,5/10/2020 17:00,380
372,1,3,2,0,1,5/11/2020 7:00,380
373,1,3,1,0,3,5/11/2020 9:00,380
374,1,3,3,0,2,5/11/2020 15:00,380
375,2,2,3,1,5,5/11/2020 7:00,386
376,1,3,1,0,3,5/11/2020 9:00,386
377,2,2,1,1,3,5/11/2020 12:00,386
378,1,3,1,0,2,5/11/2020 15:00,386
379,1,2,3,2,7,5/12/2020 7:00,386
380,1,2,3,1,4,5/12/2020 9:00,386
381,1,2,1,0,4,5/12/2020 10:00,386
382,1,3,3,0,4,5/12/2020 12:00,386
383,1,3,1,1,3,5/12/2020 14:00,386
384,1,3,3,1,4,5/12/2020 15:00,386
385,1,2,3,1,4,5/12/2020 17:00,386
386,1,2,3,0,4,5/12/2020 7:00,380
387,1,2,1,0,3,5/12/2020 10:00,380
388,1,1,2,1,5,5/12/2020 13:00,380
390,1,1,3,0,3,5/13/2020 7:00,380
391,1,2,3,0,3,5/13/2020 9:00,380
392,0,2,3,0,1,5/13/2020 11:00,380
393,1,2,3,1,3,5/13/2020 15:00,380
394,1,1,4,1,5,5/13/2020 17:00,380
395,1,1,3,1,5,5/13/2020 7:00,386
396,1,2,3,2,8,5/13/2020 8:00,386
397,1,1,1,1,3,5/13/2020 11:00,386
